"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,86
"8","Alabama",2022-10-22,141
"9","Alabama",2022-10-29,262
"10","Alabama",2022-11-05,360
"11","Alabama",2022-11-12,303
"12","Alabama",2022-11-19,226
"13","Alabama",2022-11-26,261
"14","Alabama",2022-12-03,351
"15","Alabama",2022-12-10,223
"16","Alabama",2022-12-17,142
"17","Alabama",2022-12-24,122
"18","Alabama",2022-12-31,127
"19","Alabama",2023-01-07,124
"20","Alabama",2023-01-14,92
"21","Alabama",2023-01-21,58
"22","Alabama",2023-01-28,42
"23","Alabama",2023-02-04,27
"24","Alabama",2023-02-11,32
"25","Alabama",2023-02-18,30
"26","Alabama",2023-02-25,25
"27","Alabama",2023-03-04,18
"28","Alabama",2023-03-11,16
"29","Alabama",2023-03-18,24
"30","Alabama",2023-03-25,21
"31","Alaska",2022-09-03,0
"32","Alaska",2022-09-10,5
"33","Alaska",2022-09-17,0
"34","Alaska",2022-09-24,0
"35","Alaska",2022-10-01,2
"36","Alaska",2022-10-08,3
"37","Alaska",2022-10-15,2
"38","Alaska",2022-10-22,3
"39","Alaska",2022-10-29,14
"40","Alaska",2022-11-05,10
"41","Alaska",2022-11-12,20
"42","Alaska",2022-11-19,38
"43","Alaska",2022-11-26,66
"44","Alaska",2022-12-03,58
"45","Alaska",2022-12-10,77
"46","Alaska",2022-12-17,50
"47","Alaska",2022-12-24,44
"48","Alaska",2022-12-31,56
"49","Alaska",2023-01-07,32
"50","Alaska",2023-01-14,8
"51","Alaska",2023-01-21,10
"52","Alaska",2023-01-28,3
"53","Alaska",2023-02-04,5
"54","Alaska",2023-02-11,2
"55","Alaska",2023-02-18,5
"56","Alaska",2023-02-25,4
"57","Alaska",2023-03-04,3
"58","Alaska",2023-03-11,5
"59","Alaska",2023-03-18,1
"60","Alaska",2023-03-25,4
"61","Arizona",2022-09-03,16
"62","Arizona",2022-09-10,5
"63","Arizona",2022-09-17,7
"64","Arizona",2022-09-24,9
"65","Arizona",2022-10-01,10
"66","Arizona",2022-10-08,18
"67","Arizona",2022-10-15,14
"68","Arizona",2022-10-22,22
"69","Arizona",2022-10-29,34
"70","Arizona",2022-11-05,84
"71","Arizona",2022-11-12,153
"72","Arizona",2022-11-19,339
"73","Arizona",2022-11-26,612
"74","Arizona",2022-12-03,821
"75","Arizona",2022-12-10,759
"76","Arizona",2022-12-17,563
"77","Arizona",2022-12-24,603
"78","Arizona",2022-12-31,655
"79","Arizona",2023-01-07,347
