"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,86
"8","Alabama",2022-10-22,141
"9","Alabama",2022-10-29,262
"10","Alabama",2022-11-05,360
"11","Alabama",2022-11-12,303
"12","Alabama",2022-11-19,227
"13","Alaska",2022-09-03,0
"14","Alaska",2022-09-10,5
"15","Alaska",2022-09-17,0
"16","Alaska",2022-09-24,0
"17","Alaska",2022-10-01,2
"18","Alaska",2022-10-08,3
"19","Alaska",2022-10-15,2
"20","Alaska",2022-10-22,3
"21","Alaska",2022-10-29,14
"22","Alaska",2022-11-05,10
"23","Alaska",2022-11-12,20
"24","Alaska",2022-11-19,27
"25","Arizona",2022-09-03,16
"26","Arizona",2022-09-10,5
"27","Arizona",2022-09-17,7
"28","Arizona",2022-09-24,9
"29","Arizona",2022-10-01,10
"30","Arizona",2022-10-08,18
"31","Arizona",2022-10-15,14
"32","Arizona",2022-10-22,22
"33","Arizona",2022-10-29,34
"34","Arizona",2022-11-05,84
"35","Arizona",2022-11-12,153
"36","Arizona",2022-11-19,347
"37","Arkansas",2022-09-03,8
"38","Arkansas",2022-09-10,6
"39","Arkansas",2022-09-17,4
"40","Arkansas",2022-09-24,8
"41","Arkansas",2022-10-01,10
"42","Arkansas",2022-10-08,21
"43","Arkansas",2022-10-15,40
"44","Arkansas",2022-10-22,50
"45","Arkansas",2022-10-29,84
"46","Arkansas",2022-11-05,141
"47","Arkansas",2022-11-12,212
"48","Arkansas",2022-11-19,209
"49","California",2022-09-03,35
"50","California",2022-09-10,29
"51","California",2022-09-17,24
"52","California",2022-09-24,35
"53","California",2022-10-01,72
"54","California",2022-10-08,93
"55","California",2022-10-15,97
"56","California",2022-10-22,124
"57","California",2022-10-29,211
"58","California",2022-11-05,456
"59","California",2022-11-12,928
"60","California",2022-11-19,1637
"61","Colorado",2022-09-03,1
"62","Colorado",2022-09-10,3
"63","Colorado",2022-09-17,3
"64","Colorado",2022-09-24,4
"65","Colorado",2022-10-01,3
"66","Colorado",2022-10-08,1
"67","Colorado",2022-10-15,5
"68","Colorado",2022-10-22,15
"69","Colorado",2022-10-29,32
"70","Colorado",2022-11-05,32
"71","Colorado",2022-11-12,61
"72","Colorado",2022-11-19,108
"73","Connecticut",2022-09-03,4
"74","Connecticut",2022-09-10,3
"75","Connecticut",2022-09-17,4
"76","Connecticut",2022-09-24,3
"77","Connecticut",2022-10-01,2
"78","Connecticut",2022-10-08,3
"79","Connecticut",2022-10-15,9
"80","Connecticut",2022-10-22,9
