"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,86
"8","Alabama",2022-10-22,142
"9","Alabama",2022-10-29,289
"10","Alaska",2022-09-03,0
"11","Alaska",2022-09-10,5
"12","Alaska",2022-09-17,0
"13","Alaska",2022-09-24,0
"14","Alaska",2022-10-01,2
"15","Alaska",2022-10-08,3
"16","Alaska",2022-10-15,2
"17","Alaska",2022-10-22,3
"18","Alaska",2022-10-29,8
"19","Arizona",2022-09-03,16
"20","Arizona",2022-09-10,5
"21","Arizona",2022-09-17,7
"22","Arizona",2022-09-24,9
"23","Arizona",2022-10-01,10
"24","Arizona",2022-10-08,18
"25","Arizona",2022-10-15,14
"26","Arizona",2022-10-22,22
"27","Arizona",2022-10-29,62
"28","Arkansas",2022-09-03,8
"29","Arkansas",2022-09-10,6
"30","Arkansas",2022-09-17,4
"31","Arkansas",2022-09-24,8
"32","Arkansas",2022-10-01,10
"33","Arkansas",2022-10-08,21
"34","Arkansas",2022-10-15,40
"35","Arkansas",2022-10-22,50
"36","Arkansas",2022-10-29,86
"37","California",2022-09-03,35
"38","California",2022-09-10,29
"39","California",2022-09-17,24
"40","California",2022-09-24,35
"41","California",2022-10-01,72
"42","California",2022-10-08,93
"43","California",2022-10-15,90
"44","California",2022-10-22,124
"45","California",2022-10-29,220
"46","Colorado",2022-09-03,1
"47","Colorado",2022-09-10,3
"48","Colorado",2022-09-17,3
"49","Colorado",2022-09-24,4
"50","Colorado",2022-10-01,3
"51","Colorado",2022-10-08,1
"52","Colorado",2022-10-15,5
"53","Colorado",2022-10-22,15
"54","Colorado",2022-10-29,32
"55","Connecticut",2022-09-03,4
"56","Connecticut",2022-09-10,3
"57","Connecticut",2022-09-17,4
"58","Connecticut",2022-09-24,3
"59","Connecticut",2022-10-01,2
"60","Connecticut",2022-10-08,3
"61","Connecticut",2022-10-15,9
"62","Connecticut",2022-10-22,9
"63","Connecticut",2022-10-29,69
"64","Delaware",2022-09-03,3
"65","Delaware",2022-09-10,0
"66","Delaware",2022-09-17,2
"67","Delaware",2022-09-24,0
"68","Delaware",2022-10-01,0
"69","Delaware",2022-10-08,0
"70","Delaware",2022-10-15,0
"71","Delaware",2022-10-22,1
"72","Delaware",2022-10-29,8
"73","District of Columbia",2022-09-03,0
"74","District of Columbia",2022-09-10,0
"75","District of Columbia",2022-09-17,0
"76","District of Columbia",2022-09-24,1
"77","District of Columbia",2022-10-01,0
"78","District of Columbia",2022-10-08,1
"79","District of Columbia",2022-10-15,2
