"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,86
"8","Alabama",2022-10-22,140
"9","Alaska",2022-09-03,0
"10","Alaska",2022-09-10,5
"11","Alaska",2022-09-17,0
"12","Alaska",2022-09-24,0
"13","Alaska",2022-10-01,2
"14","Alaska",2022-10-08,3
"15","Alaska",2022-10-15,2
"16","Alaska",2022-10-22,3
"17","Arizona",2022-09-03,16
"18","Arizona",2022-09-10,5
"19","Arizona",2022-09-17,7
"20","Arizona",2022-09-24,9
"21","Arizona",2022-10-01,10
"22","Arizona",2022-10-08,18
"23","Arizona",2022-10-15,14
"24","Arizona",2022-10-22,22
"25","Arkansas",2022-09-03,8
"26","Arkansas",2022-09-10,6
"27","Arkansas",2022-09-17,4
"28","Arkansas",2022-09-24,8
"29","Arkansas",2022-10-01,10
"30","Arkansas",2022-10-08,21
"31","Arkansas",2022-10-15,40
"32","Arkansas",2022-10-22,50
"33","California",2022-09-03,35
"34","California",2022-09-10,29
"35","California",2022-09-17,24
"36","California",2022-09-24,35
"37","California",2022-10-01,72
"38","California",2022-10-08,93
"39","California",2022-10-15,90
"40","California",2022-10-22,122
"41","Colorado",2022-09-03,1
"42","Colorado",2022-09-10,3
"43","Colorado",2022-09-17,3
"44","Colorado",2022-09-24,4
"45","Colorado",2022-10-01,3
"46","Colorado",2022-10-08,1
"47","Colorado",2022-10-15,5
"48","Colorado",2022-10-22,15
"49","Connecticut",2022-09-03,4
"50","Connecticut",2022-09-10,3
"51","Connecticut",2022-09-17,4
"52","Connecticut",2022-09-24,3
"53","Connecticut",2022-10-01,2
"54","Connecticut",2022-10-08,3
"55","Connecticut",2022-10-15,9
"56","Connecticut",2022-10-22,9
"57","Delaware",2022-09-03,3
"58","Delaware",2022-09-10,0
"59","Delaware",2022-09-17,2
"60","Delaware",2022-09-24,0
"61","Delaware",2022-10-01,0
"62","Delaware",2022-10-08,0
"63","Delaware",2022-10-15,0
"64","Delaware",2022-10-22,1
"65","District of Columbia",2022-09-03,0
"66","District of Columbia",2022-09-10,0
"67","District of Columbia",2022-09-17,0
"68","District of Columbia",2022-09-24,1
"69","District of Columbia",2022-10-01,0
"70","District of Columbia",2022-10-08,1
"71","District of Columbia",2022-10-15,2
"72","District of Columbia",2022-10-22,8
"73","Florida",2022-09-03,70
"74","Florida",2022-09-10,60
"75","Florida",2022-09-17,78
"76","Florida",2022-09-24,81
"77","Florida",2022-10-01,77
"78","Florida",2022-10-08,110
"79","Florida",2022-10-15,105
