"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,86
"8","Alabama",2022-10-22,141
"9","Alabama",2022-10-29,262
"10","Alabama",2022-11-05,360
"11","Alabama",2022-11-12,303
"12","Alabama",2022-11-19,226
"13","Alabama",2022-11-26,261
"14","Alabama",2022-12-03,351
"15","Alabama",2022-12-10,223
"16","Alabama",2022-12-17,142
"17","Alabama",2022-12-24,122
"18","Alabama",2022-12-31,127
"19","Alabama",2023-01-07,124
"20","Alabama",2023-01-14,92
"21","Alabama",2023-01-21,58
"22","Alabama",2023-01-28,42
"23","Alabama",2023-02-04,27
"24","Alabama",2023-02-11,32
"25","Alabama",2023-02-18,30
"26","Alabama",2023-02-25,25
"27","Alabama",2023-03-04,18
"28","Alabama",2023-03-11,16
"29","Alaska",2022-09-03,0
"30","Alaska",2022-09-10,5
"31","Alaska",2022-09-17,0
"32","Alaska",2022-09-24,0
"33","Alaska",2022-10-01,2
"34","Alaska",2022-10-08,3
"35","Alaska",2022-10-15,2
"36","Alaska",2022-10-22,3
"37","Alaska",2022-10-29,14
"38","Alaska",2022-11-05,10
"39","Alaska",2022-11-12,20
"40","Alaska",2022-11-19,38
"41","Alaska",2022-11-26,66
"42","Alaska",2022-12-03,58
"43","Alaska",2022-12-10,77
"44","Alaska",2022-12-17,50
"45","Alaska",2022-12-24,44
"46","Alaska",2022-12-31,56
"47","Alaska",2023-01-07,32
"48","Alaska",2023-01-14,8
"49","Alaska",2023-01-21,10
"50","Alaska",2023-01-28,3
"51","Alaska",2023-02-04,5
"52","Alaska",2023-02-11,2
"53","Alaska",2023-02-18,5
"54","Alaska",2023-02-25,4
"55","Alaska",2023-03-04,3
"56","Alaska",2023-03-11,5
"57","Arizona",2022-09-03,16
"58","Arizona",2022-09-10,5
"59","Arizona",2022-09-17,7
"60","Arizona",2022-09-24,9
"61","Arizona",2022-10-01,10
"62","Arizona",2022-10-08,18
"63","Arizona",2022-10-15,14
"64","Arizona",2022-10-22,22
"65","Arizona",2022-10-29,34
"66","Arizona",2022-11-05,84
"67","Arizona",2022-11-12,153
"68","Arizona",2022-11-19,339
"69","Arizona",2022-11-26,612
"70","Arizona",2022-12-03,821
"71","Arizona",2022-12-10,759
"72","Arizona",2022-12-17,563
"73","Arizona",2022-12-24,603
"74","Arizona",2022-12-31,655
"75","Arizona",2023-01-07,347
"76","Arizona",2023-01-14,139
"77","Arizona",2023-01-21,112
"78","Arizona",2023-01-28,48
"79","Arizona",2023-02-04,71
