"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,86
"8","Alabama",2022-10-22,141
"9","Alabama",2022-10-29,262
"10","Alabama",2022-11-05,360
"11","Alabama",2022-11-12,303
"12","Alabama",2022-11-19,226
"13","Alabama",2022-11-26,261
"14","Alabama",2022-12-03,351
"15","Alabama",2022-12-10,223
"16","Alabama",2022-12-17,142
"17","Alabama",2022-12-24,122
"18","Alabama",2022-12-31,127
"19","Alabama",2023-01-07,124
"20","Alabama",2023-01-14,92
"21","Alabama",2023-01-21,58
"22","Alabama",2023-01-28,42
"23","Alabama",2023-02-04,27
"24","Alabama",2023-02-11,34
"25","Alaska",2022-09-03,0
"26","Alaska",2022-09-10,5
"27","Alaska",2022-09-17,0
"28","Alaska",2022-09-24,0
"29","Alaska",2022-10-01,2
"30","Alaska",2022-10-08,3
"31","Alaska",2022-10-15,2
"32","Alaska",2022-10-22,3
"33","Alaska",2022-10-29,14
"34","Alaska",2022-11-05,10
"35","Alaska",2022-11-12,20
"36","Alaska",2022-11-19,38
"37","Alaska",2022-11-26,66
"38","Alaska",2022-12-03,58
"39","Alaska",2022-12-10,77
"40","Alaska",2022-12-17,50
"41","Alaska",2022-12-24,44
"42","Alaska",2022-12-31,55
"43","Alaska",2023-01-07,32
"44","Alaska",2023-01-14,8
"45","Alaska",2023-01-21,10
"46","Alaska",2023-01-28,3
"47","Alaska",2023-02-04,5
"48","Alaska",2023-02-11,2
"49","Arizona",2022-09-03,16
"50","Arizona",2022-09-10,5
"51","Arizona",2022-09-17,7
"52","Arizona",2022-09-24,9
"53","Arizona",2022-10-01,10
"54","Arizona",2022-10-08,18
"55","Arizona",2022-10-15,14
"56","Arizona",2022-10-22,22
"57","Arizona",2022-10-29,34
"58","Arizona",2022-11-05,84
"59","Arizona",2022-11-12,153
"60","Arizona",2022-11-19,339
"61","Arizona",2022-11-26,612
"62","Arizona",2022-12-03,821
"63","Arizona",2022-12-10,759
"64","Arizona",2022-12-17,563
"65","Arizona",2022-12-24,609
"66","Arizona",2022-12-31,655
"67","Arizona",2023-01-07,347
"68","Arizona",2023-01-14,139
"69","Arizona",2023-01-21,112
"70","Arizona",2023-01-28,48
"71","Arizona",2023-02-04,71
"72","Arizona",2023-02-11,51
"73","Arkansas",2022-09-03,8
"74","Arkansas",2022-09-10,6
"75","Arkansas",2022-09-17,4
"76","Arkansas",2022-09-24,8
"77","Arkansas",2022-10-01,10
"78","Arkansas",2022-10-08,21
"79","Arkansas",2022-10-15,40
