"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,86
"8","Alabama",2022-10-22,141
"9","Alabama",2022-10-29,262
"10","Alabama",2022-11-05,360
"11","Alabama",2022-11-12,303
"12","Alabama",2022-11-19,226
"13","Alabama",2022-11-26,261
"14","Alabama",2022-12-03,351
"15","Alabama",2022-12-10,233
"16","Alaska",2022-09-03,0
"17","Alaska",2022-09-10,5
"18","Alaska",2022-09-17,0
"19","Alaska",2022-09-24,0
"20","Alaska",2022-10-01,2
"21","Alaska",2022-10-08,3
"22","Alaska",2022-10-15,2
"23","Alaska",2022-10-22,3
"24","Alaska",2022-10-29,14
"25","Alaska",2022-11-05,10
"26","Alaska",2022-11-12,20
"27","Alaska",2022-11-19,38
"28","Alaska",2022-11-26,66
"29","Alaska",2022-12-03,58
"30","Alaska",2022-12-10,83
"31","Arizona",2022-09-03,16
"32","Arizona",2022-09-10,5
"33","Arizona",2022-09-17,7
"34","Arizona",2022-09-24,9
"35","Arizona",2022-10-01,10
"36","Arizona",2022-10-08,18
"37","Arizona",2022-10-15,14
"38","Arizona",2022-10-22,22
"39","Arizona",2022-10-29,34
"40","Arizona",2022-11-05,84
"41","Arizona",2022-11-12,153
"42","Arizona",2022-11-19,339
"43","Arizona",2022-11-26,612
"44","Arizona",2022-12-03,821
"45","Arizona",2022-12-10,781
"46","Arkansas",2022-09-03,8
"47","Arkansas",2022-09-10,6
"48","Arkansas",2022-09-17,4
"49","Arkansas",2022-09-24,8
"50","Arkansas",2022-10-01,10
"51","Arkansas",2022-10-08,21
"52","Arkansas",2022-10-15,40
"53","Arkansas",2022-10-22,50
"54","Arkansas",2022-10-29,84
"55","Arkansas",2022-11-05,141
"56","Arkansas",2022-11-12,212
"57","Arkansas",2022-11-19,218
"58","Arkansas",2022-11-26,435
"59","Arkansas",2022-12-03,469
"60","Arkansas",2022-12-10,313
"61","California",2022-09-03,35
"62","California",2022-09-10,29
"63","California",2022-09-17,24
"64","California",2022-09-24,35
"65","California",2022-10-01,72
"66","California",2022-10-08,93
"67","California",2022-10-15,97
"68","California",2022-10-22,124
"69","California",2022-10-29,211
"70","California",2022-11-05,456
"71","California",2022-11-12,928
"72","California",2022-11-19,1616
"73","California",2022-11-26,2790
"74","California",2022-12-03,3140
"75","California",2022-12-10,2299
"76","Colorado",2022-09-03,1
"77","Colorado",2022-09-10,3
"78","Colorado",2022-09-17,3
"79","Colorado",2022-09-24,4
"80","Colorado",2022-10-01,3
"81","Colorado",2022-10-08,1
