"date","value","location_name","location"
2022-02-05,0,"Alaska","02"
2022-02-05,9,"Alabama","01"
2022-02-05,23,"Arkansas","05"
2022-02-05,53,"Arizona","04"
2022-02-05,28,"California","06"
2022-02-05,27,"Colorado","08"
2022-02-05,0,"Connecticut","09"
2022-02-05,0,"District of Columbia","11"
2022-02-05,0,"Delaware","10"
2022-02-05,47,"Florida","12"
2022-02-05,41,"Georgia","13"
2022-02-05,0,"Hawaii","15"
2022-02-05,46,"Iowa","19"
2022-02-05,1,"Idaho","16"
2022-02-05,8,"Illinois","17"
2022-02-05,31,"Indiana","18"
2022-02-05,22,"Kansas","20"
2022-02-05,11,"Kentucky","21"
2022-02-05,85,"Louisiana","22"
2022-02-05,30,"Massachusetts","25"
2022-02-05,6,"Maryland","24"
2022-02-05,5,"Maine","23"
2022-02-05,40,"Michigan","26"
2022-02-05,20,"Minnesota","27"
2022-02-05,46,"Missouri","29"
2022-02-05,21,"Mississippi","28"
2022-02-05,13,"Montana","30"
2022-02-05,25,"North Carolina","37"
2022-02-05,7,"North Dakota","38"
2022-02-05,29,"Nebraska","31"
2022-02-05,9,"New Hampshire","33"
2022-02-05,20,"New Jersey","34"
2022-02-05,4,"New Mexico","35"
2022-02-05,8,"Nevada","32"
2022-02-05,27,"New York","36"
2022-02-05,26,"Ohio","39"
2022-02-05,68,"Oklahoma","40"
2022-02-05,2,"Oregon","41"
2022-02-05,50,"Pennsylvania","42"
2022-02-05,0,"Rhode Island","44"
2022-02-05,11,"South Carolina","45"
2022-02-05,18,"South Dakota","46"
2022-02-05,21,"Tennessee","47"
2022-02-05,133,"Texas","48"
2022-02-05,3,"Utah","49"
2022-02-05,34,"Virginia","51"
2022-02-05,0,"Vermont","50"
2022-02-05,8,"Washington","53"
2022-02-05,29,"Wisconsin","55"
2022-02-05,2,"West Virginia","54"
2022-02-05,2,"Wyoming","56"
2022-02-12,0,"Alaska","02"
2022-02-12,21,"Alabama","01"
2022-02-12,22,"Arkansas","05"
2022-02-12,56,"Arizona","04"
2022-02-12,11,"California","06"
2022-02-12,16,"Colorado","08"
2022-02-12,1,"Connecticut","09"
2022-02-12,1,"District of Columbia","11"
2022-02-12,0,"Delaware","10"
2022-02-12,47,"Florida","12"
2022-02-12,48,"Georgia","13"
2022-02-12,0,"Hawaii","15"
2022-02-12,40,"Iowa","19"
2022-02-12,1,"Idaho","16"
2022-02-12,22,"Illinois","17"
2022-02-12,53,"Indiana","18"
2022-02-12,25,"Kansas","20"
2022-02-12,12,"Kentucky","21"
2022-02-12,170,"Louisiana","22"
2022-02-12,43,"Massachusetts","25"
2022-02-12,13,"Maryland","24"
2022-02-12,5,"Maine","23"
2022-02-12,49,"Michigan","26"
2022-02-12,30,"Minnesota","27"
2022-02-12,55,"Missouri","29"
2022-02-12,25,"Mississippi","28"
2022-02-12,7,"Montana","30"
2022-02-12,34,"North Carolina","37"
2022-02-12,8,"North Dakota","38"
2022-02-12,32,"Nebraska","31"
2022-02-12,7,"New Hampshire","33"
2022-02-12,22,"New Jersey","34"
2022-02-12,6,"New Mexico","35"
2022-02-12,9,"Nevada","32"
2022-02-12,40,"New York","36"
2022-02-12,33,"Ohio","39"
2022-02-12,74,"Oklahoma","40"
2022-02-12,5,"Oregon","41"
2022-02-12,88,"Pennsylvania","42"
2022-02-12,1,"Rhode Island","44"
2022-02-12,17,"South Carolina","45"
2022-02-12,13,"South Dakota","46"
2022-02-12,26,"Tennessee","47"
2022-02-12,227,"Texas","48"
2022-02-12,3,"Utah","49"
2022-02-12,31,"Virginia","51"
2022-02-12,0,"Vermont","50"
2022-02-12,6,"Washington","53"
2022-02-12,25,"Wisconsin","55"
2022-02-12,4,"West Virginia","54"
2022-02-12,2,"Wyoming","56"
2022-02-19,1,"Alaska","02"
2022-02-19,10,"Alabama","01"
2022-02-19,37,"Arkansas","05"
2022-02-19,80,"Arizona","04"
2022-02-19,23,"California","06"
2022-02-19,24,"Colorado","08"
2022-02-19,7,"Connecticut","09"
2022-02-19,0,"District of Columbia","11"
2022-02-19,0,"Delaware","10"
2022-02-19,55,"Florida","12"
2022-02-19,44,"Georgia","13"
2022-02-19,0,"Hawaii","15"
2022-02-19,57,"Iowa","19"
2022-02-19,3,"Idaho","16"
2022-02-19,26,"Illinois","17"
2022-02-19,42,"Indiana","18"
2022-02-19,34,"Kansas","20"
2022-02-19,23,"Kentucky","21"
2022-02-19,116,"Louisiana","22"
2022-02-19,34,"Massachusetts","25"
2022-02-19,15,"Maryland","24"
2022-02-19,2,"Maine","23"
2022-02-19,50,"Michigan","26"
2022-02-19,19,"Minnesota","27"
2022-02-19,50,"Missouri","29"
2022-02-19,27,"Mississippi","28"
2022-02-19,16,"Montana","30"
2022-02-19,33,"North Carolina","37"
2022-02-19,0,"North Dakota","38"
2022-02-19,40,"Nebraska","31"
2022-02-19,0,"New Hampshire","33"
2022-02-19,28,"New Jersey","34"
2022-02-19,4,"New Mexico","35"
2022-02-19,9,"Nevada","32"
2022-02-19,29,"New York","36"
2022-02-19,32,"Ohio","39"
2022-02-19,75,"Oklahoma","40"
2022-02-19,4,"Oregon","41"
2022-02-19,77,"Pennsylvania","42"
2022-02-19,0,"Rhode Island","44"
2022-02-19,13,"South Carolina","45"
2022-02-19,12,"South Dakota","46"
2022-02-19,42,"Tennessee","47"
2022-02-19,323,"Texas","48"
2022-02-19,5,"Utah","49"
2022-02-19,27,"Virginia","51"
2022-02-19,1,"Vermont","50"
2022-02-19,5,"Washington","53"
2022-02-19,29,"Wisconsin","55"
2022-02-19,8,"West Virginia","54"
2022-02-19,4,"Wyoming","56"
2022-02-26,0,"Alaska","02"
2022-02-26,26,"Alabama","01"
2022-02-26,57,"Arkansas","05"
2022-02-26,80,"Arizona","04"
2022-02-26,34,"California","06"
