"location","location_name","value_inc","target_end_date"
"02","Alaska",1,2022-02-26
"01","Alabama",14,2022-02-26
"05","Arkansas",42,2022-02-26
"04","Arizona",72,2022-02-26
"06","California",34,2022-02-26
"08","Colorado",27,2022-02-26
"09","Connecticut",7,2022-02-26
"11","District of Columbia",0,2022-02-26
"10","Delaware",1,2022-02-26
"12","Florida",66,2022-02-26
"13","Georgia",35,2022-02-26
"15","Hawaii",0,2022-02-26
"19","Iowa",62,2022-02-26
"16","Idaho",4,2022-02-26
"17","Illinois",26,2022-02-26
"18","Indiana",42,2022-02-26
"20","Kansas",38,2022-02-26
"21","Kentucky",28,2022-02-26
"22","Louisiana",36,2022-02-26
"25","Massachusetts",30,2022-02-26
"24","Maryland",17,2022-02-26
"23","Maine",2,2022-02-26
"26","Michigan",55,2022-02-26
"27","Minnesota",19,2022-02-26
"29","Missouri",57,2022-02-26
"28","Mississippi",31,2022-02-26
"30","Montana",15,2022-02-26
"37","North Carolina",36,2022-02-26
"38","North Dakota",0,2022-02-26
"31","Nebraska",36,2022-02-26
"33","New Hampshire",4,2022-02-26
"34","New Jersey",35,2022-02-26
"35","New Mexico",3,2022-02-26
"32","Nevada",9,2022-02-26
"36","New York",38,2022-02-26
"39","Ohio",33,2022-02-26
"40","Oklahoma",81,2022-02-26
"41","Oregon",3,2022-02-26
"42","Pennsylvania",82,2022-02-26
"72","Puerto Rico",5,2022-02-26
"44","Rhode Island",0,2022-02-26
"45","South Carolina",27,2022-02-26
"46","South Dakota",15,2022-02-26
"47","Tennessee",47,2022-02-26
"48","Texas",347,2022-02-26
"US","National",1666,2022-02-26
"49","Utah",6,2022-02-26
"51","Virginia",41,2022-02-26
"50","Vermont",1,2022-02-26
"53","Washington",7,2022-02-26
"55","Wisconsin",27,2022-02-26
"54","West Virginia",17,2022-02-26
"56","Wyoming",5,2022-02-26
"02","Alaska",0,2022-03-05
"01","Alabama",35,2022-03-05
"05","Arkansas",58,2022-03-05
"04","Arizona",91,2022-03-05
"06","California",32,2022-03-05
"08","Colorado",25,2022-03-05
"09","Connecticut",7,2022-03-05
"11","District of Columbia",1,2022-03-05
"10","Delaware",1,2022-03-05
"12","Florida",72,2022-03-05
"13","Georgia",28,2022-03-05
"15","Hawaii",0,2022-03-05
"19","Iowa",57,2022-03-05
"16","Idaho",3,2022-03-05
"17","Illinois",21,2022-03-05
"18","Indiana",72,2022-03-05
"20","Kansas",32,2022-03-05
"21","Kentucky",20,2022-03-05
"22","Louisiana",31,2022-03-05
"25","Massachusetts",14,2022-03-05
"24","Maryland",21,2022-03-05
"23","Maine",3,2022-03-05
"26","Michigan",82,2022-03-05
"27","Minnesota",31,2022-03-05
"29","Missouri",77,2022-03-05
"28","Mississippi",34,2022-03-05
"30","Montana",19,2022-03-05
"37","North Carolina",54,2022-03-05
"38","North Dakota",2,2022-03-05
"31","Nebraska",60,2022-03-05
"33","New Hampshire",3,2022-03-05
"34","New Jersey",41,2022-03-05
"35","New Mexico",6,2022-03-05
"32","Nevada",21,2022-03-05
"36","New York",56,2022-03-05
"39","Ohio",50,2022-03-05
"40","Oklahoma",95,2022-03-05
"41","Oregon",2,2022-03-05
"42","Pennsylvania",77,2022-03-05
"72","Puerto Rico",11,2022-03-05
"44","Rhode Island",2,2022-03-05
"45","South Carolina",23,2022-03-05
"46","South Dakota",34,2022-03-05
"47","Tennessee",33,2022-03-05
"48","Texas",345,2022-03-05
"US","National",1943,2022-03-05
"49","Utah",12,2022-03-05
"51","Virginia",38,2022-03-05
"50","Vermont",0,2022-03-05
"53","Washington",12,2022-03-05
"55","Wisconsin",64,2022-03-05
"54","West Virginia",30,2022-03-05
"56","Wyoming",5,2022-03-05
"02","Alaska",2,2022-03-12
"01","Alabama",30,2022-03-12
"05","Arkansas",62,2022-03-12
"04","Arizona",85,2022-03-12
"06","California",45,2022-03-12
"08","Colorado",42,2022-03-12
"09","Connecticut",6,2022-03-12
"11","District of Columbia",4,2022-03-12
"10","Delaware",7,2022-03-12
"12","Florida",69,2022-03-12
"13","Georgia",37,2022-03-12
"15","Hawaii",0,2022-03-12
"19","Iowa",61,2022-03-12
"16","Idaho",15,2022-03-12
"17","Illinois",39,2022-03-12
"18","Indiana",106,2022-03-12
"20","Kansas",45,2022-03-12
"21","Kentucky",35,2022-03-12
"22","Louisiana",31,2022-03-12
"25","Massachusetts",34,2022-03-12
"24","Maryland",18,2022-03-12
"23","Maine",2,2022-03-12
"26","Michigan",92,2022-03-12
"27","Minnesota",35,2022-03-12
"29","Missouri",67,2022-03-12
"28","Mississippi",32,2022-03-12
"30","Montana",15,2022-03-12
"37","North Carolina",52,2022-03-12
"38","North Dakota",6,2022-03-12
"31","Nebraska",39,2022-03-12
"33","New Hampshire",17,2022-03-12
"34","New Jersey",39,2022-03-12
"35","New Mexico",8,2022-03-12
"32","Nevada",25,2022-03-12
"36","New York",57,2022-03-12
"39","Ohio",86,2022-03-12
"40","Oklahoma",129,2022-03-12
"41","Oregon",9,2022-03-12
"42","Pennsylvania",82,2022-03-12
"72","Puerto Rico",23,2022-03-12
"44","Rhode Island",0,2022-03-12
"45","South Carolina",21,2022-03-12
"46","South Dakota",15,2022-03-12
"47","Tennessee",32,2022-03-12
"48","Texas",453,2022-03-12
